Name,Height,Reach,Stance
Justin Bruckmann,"5' 9""",--,Orthodox
Cody Brundage,"6' 0""","72.0""",Orthodox
Steve Bruno,"5' 10""",--,Orthodox
Fernando Bruno,"5' 6""",--,
Derek Brunson,"6' 1""","77.0""",Southpaw
Josh Bryant,"5' 10""",--,Orthodox
Dennis Bryant,"6' 0""",--,Orthodox
Lukasz Brzeski,"6' 4""","78.0""",Orthodox
Justin Buchholz,"6' 0""","73.0""",Orthodox
Zak Bucia,"5' 10""",--,
Courtney Buck,"5' 10""",--,Orthodox
Joaquin Buckley,"5' 10""","76.0""",Southpaw
Martin Buday,"6' 4""","77.0""",Orthodox
Julia Budd,"5' 7""","67.0""",
Mike Budnik,"5' 9""","68.0""",Orthodox
Francisco Bueno,"5' 9""",--,Orthodox
Mayra Bueno Silva,"5' 6""","66.0""",Orthodox
Paul Buentello,"6' 2""","77.0""",Orthodox
Modestas Bukauskas,"6' 3""","78.0""",Switch
Lee Kwan Bum,"6' 2""",--,Orthodox
Josh Bumgarner,"6' 1""",--,
Shawn Bunch,"5' 5""",--,
Shane Burgos,"5' 11""","75.0""",Orthodox
Joshua Burkman,"5' 10""","72.0""",Orthodox
Justin Burlinson,"6' 1""","74.0""",Switch
Mads Burnell,"5' 8""","69.0""",Orthodox
Mikey Burnett,"5' 6""",--,Orthodox
Kevin Burns,"5' 10""","74.0""",Orthodox
Gilbert Burns,"5' 10""","71.0""",Orthodox
Josh Burns,"6' 1""",--,
Herbert Burns,"5' 9""","73.0""",Orthodox
Derrick Burnsed,--,--,
Nah-Shon Burrell,"5' 11""",--,Orthodox
Martin Buschkamp,"5' 9""",--,Orthodox
George Bush,"6' 1""",--,
Bubba Bush,"6' 0""",--,Orthodox
Dakota Bush,"5' 10""","73.0""",Orthodox
Murilo Bustamante,"6' 2""",--,Orthodox
Nick Bustamante,"5' 9""",--,
Eduardo Bustillos,"5' 8""",--,
Jason Butcher,"6' 3""",--,
Todd Butler,"6' 1""",--,Southpaw
Goldman Butler,--,--,
Ian Butler,"5' 8""",--,
Raphael Butler,"6' 3""",--,
JP Buys,"5' 5""","67.0""",Orthodox
Dennis Buzukja,"5' 9""","70.0""",Switch
Charles Byrd,"5' 10""","73.0""",Orthodox
Steve Byrnes,"6' 0""",--,Orthodox
Michael Byrnes,"5' 11""",--,
Yan Cabral,"5' 11""","73.0""",Orthodox
Alvin Cacdac,"5' 6""",--,Orthodox
Alex Caceres,"5' 10""","73.0""",Southpaw
Vince Cachero,"5' 6""","68.0""",Orthodox
Priscila Cachoeira,"5' 7""","65.0""",Orthodox
Travis Calanoc,"5' 8""",--,Orthodox
Ricky Calatayud,"5' 9""",--,
Darrion Caldwell,"5' 10""",--,
Taylor Callens,"5' 10""",--,
Cynthia Calvillo,"5' 4""","64.0""",Orthodox
Joe Camacho,"5' 9""",--,Orthodox
Frank Camacho,"5' 10""","73.0""",Orthodox
Fabricio Camoes,"5' 10""","71.0""",Orthodox
Chris Camozzi,"6' 2""","75.0""",Orthodox
Brian Camozzi,"6' 2""","78.0""",Orthodox
Ricky Camp,"5' 7""",--,
Mike Campbell,"5' 9""",--,Southpaw
Thomas Campbell,--,--,
Shane Campbell,"6' 0""","71.0""",Orthodox
Charlie Campbell,"6' 0""",--,Orthodox
John Campetella,"5' 9""",--,Orthodox
Wagner Campos,"5' 6""",--,Southpaw
Derek Campos,"5' 9""",--,
Will Campuzano,"5' 9""","70.0""",Orthodox
Aleksa Camur,"6' 1""","74.0""",Orthodox
Chico Camus,"5' 6""","66.0""",Orthodox
Asbel Cancio,"5' 10""",--,
Carlos Candelario,"5' 8""","68.0""",Southpaw
Ronaldo Candido,"5' 6""",--,Southpaw
Luiz Cane,"6' 2""","77.0""",Southpaw
Guido Cannetti,"5' 6""","68.0""",Southpaw
Jared Cannonier,"5' 11""","77.0""",Switch
Jose Canseco,"6' 4""",--,Orthodox
Cody Canterbury,"5' 8""",--,
Bo Cantrell,"6' 2""",--,Orthodox
Steve Cantwell,"6' 2""","75.0""",Orthodox
Paul Capaldo,"5' 7""",--,
Phil Caracappa,"5' 8""","70.0""",Orthodox
Frank Caracci,--,--,
Gina Carano,"5' 8""",--,Orthodox
Dos Caras Jr.,"6' 4""",--,Orthodox
Bryan Caraway,"5' 8""","68.0""",Orthodox
Remo Cardarelli,--,--,
Phil Cardella,"5' 11""",--,
Edgar Cardenas,--,--,
Chris Cariaso,"5' 3""","64.0""",Southpaw
Ronald Carillo,--,--,
Rafael Carino,"6' 8""",--,Orthodox
Don Carlo-Clauss,--,--,
Antonio Carlos,"6' 2""","79.0""",Orthodox
Spike Carlyle,"5' 8""","71.0""",Switch
Francis Carmont,"6' 3""","78.0""",Orthodox
Liz Carmouche,"5' 6""","66.0""",Orthodox
Roan Carneiro,"5' 11""","76.0""",Orthodox
Ariane Carnelossi,"5' 2""","61.0""",Orthodox
Luana Carolina,"5' 6""","69.0""",Orthodox
Tim Caron,"6' 1""",--,Orthodox
Clayton Carpenter,"5' 6""","66.0""",Orthodox
Gabriel Carrasco,"5' 6""",--,
Cody Carrillo,"5' 10""",--,
Cain Carrizosa,"5' 8""",--,Orthodox
Roger Carroll,"5' 10""",--,
Jonny Carson,"5' 10""",--,
Scott Carson,"6' 2""",--,
Shonie Carter,"5' 10""",--,Southpaw
Jack Cartwright,"5' 9""","68.0""",Orthodox
Bruno Carvalho,"5' 8""",--,
Antonio Carvalho,"5' 9""","70.0""",Orthodox
Rafael Carvalho,"6' 3""",--,
Shane Carwin,"6' 2""","80.0""",Orthodox
Johnny Case,"5' 10""","72.0""",Orthodox
Kevin Casey,"5' 11""","77.0""",Southpaw
Cortney Casey,"5' 7""","67.0""",Orthodox
Brandon Cash,"6' 5""",--,Orthodox
Bendy Casimir,"5' 5""",--,Southpaw
Dwayne Cason,"5' 10""",--,Orthodox
Joe Cason,"6' 3""",--,
John Castaneda,"5' 6""","71.0""",Switch
Eric Castile,"5' 8""",--,
Gil Castillo,"5' 9""",--,Southpaw
Danny Castillo,"5' 9""","71.0""",Orthodox
Raul Castillo,"5' 11""",--,Orthodox
Jenna Castillo,"5' 2""",--,
Tim Catalfo,"5' 11""",--,Orthodox
Nick Catone,"6' 0""","72.0""",Southpaw
Luke Caudillo,"5' 7""",--,Orthodox
Gesias Cavalcante,"5' 8""","71.0""",Orthodox
